File,Result,
../../../../myLGfiles/28_em_128.lg, Correct,
../../../../myLGfiles/28_em_129.lg, Correct,
../../../../myLGfiles/28_em_130.lg, Correct,
../../../../myLGfiles/28_em_131.lg, Correct,
../../../../myLGfiles/28_em_132.lg, Correct,
../../../../myLGfiles/28_em_133.lg, Correct,
../../../../myLGfiles/28_em_134.lg, Correct,
../../../../myLGfiles/28_em_135.lg, Correct,
../../../../myLGfiles/28_em_136.lg, Correct,
../../../../myLGfiles/28_em_137.lg, Correct,
../../../../myLGfiles/28_em_138.lg, Correct,
../../../../myLGfiles/28_em_139.lg, Correct,
../../../../myLGfiles/28_em_140.lg, Correct,
../../../../myLGfiles/28_em_141.lg, Correct,
../../../../myLGfiles/28_em_142.lg, Correct,
../../../../myLGfiles/28_em_143.lg, Correct,
../../../../myLGfiles/28_em_144.lg, Correct,
../../../../myLGfiles/28_em_145.lg, Correct,
../../../../myLGfiles/28_em_146.lg, Correct,
../../../../myLGfiles/28_em_147.lg, Correct,
../../../../myLGfiles/28_em_148.lg, Correct,
../../../../myLGfiles/28_em_149.lg, Correct,
../../../../myLGfiles/29_em_150.lg, Correct,
../../../../myLGfiles/29_em_151.lg, Correct,
../../../../myLGfiles/29_em_152.lg, Correct,
../../../../myLGfiles/29_em_153.lg, Correct,
../../../../myLGfiles/29_em_154.lg, Correct,
../../../../myLGfiles/29_em_155.lg, Correct,
../../../../myLGfiles/29_em_156.lg, Correct,
../../../../myLGfiles/29_em_157.lg, Correct,
../../../../myLGfiles/29_em_158.lg, Correct,
../../../../myLGfiles/29_em_159.lg, Correct,
../../../../myLGfiles/29_em_160.lg, Correct,
../../../../myLGfiles/29_em_161.lg, Correct,
../../../../myLGfiles/29_em_162.lg, Correct,
../../../../myLGfiles/29_em_163.lg, Correct,
../../../../myLGfiles/29_em_164.lg, Correct,
../../../../myLGfiles/29_em_165.lg, Correct,
../../../../myLGfiles/29_em_166.lg, Correct,
../../../../myLGfiles/29_em_167.lg, Correct,
../../../../myLGfiles/29_em_169.lg, Correct,
../../../../myLGfiles/29_em_170.lg, Correct,
../../../../myLGfiles/29_em_171.lg, Correct,
../../../../myLGfiles/29_em_172.lg, Correct,
../../../../myLGfiles/29_em_173.lg, Correct,
../../../../myLGfiles/29_em_174.lg, Correct,
../../../../myLGfiles/31_em_175.lg, Correct,
../../../../myLGfiles/31_em_176.lg, Correct,
../../../../myLGfiles/31_em_177.lg, Correct,
../../../../myLGfiles/31_em_178.lg, Correct,
../../../../myLGfiles/31_em_180.lg, Correct,
../../../../myLGfiles/31_em_181.lg, Correct,
../../../../myLGfiles/31_em_182.lg, Correct,
../../../../myLGfiles/31_em_183.lg, Correct,
../../../../myLGfiles/31_em_184.lg, Correct,
../../../../myLGfiles/31_em_185.lg, Correct,
../../../../myLGfiles/31_em_187.lg, Correct,
../../../../myLGfiles/31_em_188.lg, Correct,
../../../../myLGfiles/31_em_189.lg, Correct,
../../../../myLGfiles/31_em_190.lg, Correct,
../../../../myLGfiles/31_em_191.lg, Correct,
../../../../myLGfiles/31_em_192.lg, Correct,
../../../../myLGfiles/31_em_193.lg, Correct,
../../../../myLGfiles/31_em_194.lg, Correct,
../../../../myLGfiles/31_em_195.lg, Correct,
../../../../myLGfiles/31_em_196.lg, Correct,
../../../../myLGfiles/31_em_197.lg, Correct,
../../../../myLGfiles/31_em_198.lg, Correct,
../../../../myLGfiles/31_em_199.lg, Correct,
../../../../myLGfiles/32_em_200.lg, Correct,
../../../../myLGfiles/32_em_201.lg, Correct,
../../../../myLGfiles/32_em_202.lg, Correct,
../../../../myLGfiles/32_em_203.lg, Correct,
../../../../myLGfiles/32_em_204.lg, Correct,
../../../../myLGfiles/32_em_205.lg, Correct,
../../../../myLGfiles/32_em_206.lg, Correct,
../../../../myLGfiles/32_em_207.lg, Correct,
../../../../myLGfiles/32_em_208.lg, Correct,
../../../../myLGfiles/32_em_209.lg, Correct,
../../../../myLGfiles/32_em_210.lg, Correct,
../../../../myLGfiles/32_em_211.lg, Correct,
../../../../myLGfiles/32_em_212.lg, Correct,
../../../../myLGfiles/32_em_213.lg, Correct,
../../../../myLGfiles/32_em_214.lg, Correct,
../../../../myLGfiles/32_em_215.lg, Correct,
../../../../myLGfiles/32_em_216.lg, Correct,
../../../../myLGfiles/32_em_217.lg, Correct,
../../../../myLGfiles/32_em_218.lg, Correct,
../../../../myLGfiles/32_em_219.lg, Correct,
../../../../myLGfiles/32_em_220a.lg, Correct,
../../../../myLGfiles/32_em_220b.lg, Correct,
../../../../myLGfiles/32_em_220c.lg, Correct,
../../../../myLGfiles/32_em_221.lg, Correct,
../../../../myLGfiles/32_em_222.lg, Correct,
../../../../myLGfiles/32_em_223.lg, Correct,
../../../../myLGfiles/32_em_224.lg, Correct,
../../../../myLGfiles/34_em_225.lg, Correct,
../../../../myLGfiles/34_em_226.lg, Correct,
../../../../myLGfiles/34_em_227.lg, Correct,
../../../../myLGfiles/34_em_228.lg, Correct,
../../../../myLGfiles/34_em_229.lg, Correct,
../../../../myLGfiles/34_em_230.lg, Correct,
../../../../myLGfiles/34_em_231.lg, Correct,
../../../../myLGfiles/34_em_232.lg, Correct,
../../../../myLGfiles/34_em_233.lg, Correct,
../../../../myLGfiles/34_em_234.lg, Correct,
